nombre_vsx,ra,dec,clase_variable
Gaia DR3 420512349516607104,0.03434,55.52673,ROT
Gaia DR3 2881880209023428224,0.03434,40.13569,E
Gaia DR3 395742689003492480,0.03449,52.47423,ROT
ASASSN-V J000008.29+582842.5,0.03453,58.47846,SRS
Gaia DR3 393466592551444224,0.03469,49.26718,ROT
Gaia DR3 429486666505069696,0.03475,61.33669,ROT
Gaia DR3 421075333829529856,0.03491,57.06991,ROT
Gaia DR3 4990287767822948992,0.03497,-47.11506,ROT
Gaia DR3 387168010127783808,0.03498,47.24298,S
ZTF J000008.45+524629.5,0.03522,52.77487,BY
ZTF J000008.47+633107.0,0.03531,63.51863,RS
Gaia DR3 566844221745106304,0.03537,82.00451,ROT
Gaia DR3 393463985512561408,0.03538,49.1404,ROT
Gaia DR3 4919430630028172288,0.03542,-57.4674,ROT
ZTF J000008.50+460823.3,0.03545,46.13981,EW
Gaia DR3 4976477897482654336,0.03547,-51.20753,ROT
Gaia DR3 2880286230695971584,0.03547,37.15001,ROT
ZTF J000008.51+623055.4,0.03549,62.51539,EB:
Gaia DR3 530711692677996288,0.03562,69.92269,E
Gaia DR3 2880477786237527936,0.03563,37.36415,ROT
Gaia DR3 396279250677475328,0.03582,53.82212,ROT
Gaia DR3 393360597056428800,0.03586,48.83912,ROT
ZTF J000008.63+605245.9,0.03599,60.87944,BY
Gaia DR3 4702058246368760832,0.0361,-71.39226,RRAB
Gaia DR3 4977890769923855488,0.03625,-48.72285,ROT
Gaia DR3 420943495513890560,0.03632,56.50428,DSCT|GDOR|SXPHE
MASTER OT J000008.72-334156.5,0.03633,-33.69903,UV
Gaia DR3 2314841588470051840,0.03635,-30.30342,ROT
ASASSN-V J000008.75+644556.7,0.03644,64.76576,SRS
ZTF J000008.77+604349.0,0.03655,60.73029,RS
Gaia DR3 2881741777933859200,0.03674,38.78801,S
Gaia DR3 420338798476371584,0.03681,54.50858,ROT
Gaia DR3 393501746865605120,0.03683,49.64463,ROT
Gaia DR3 422728552642608000,0.03687,58.17801,ROT
ZTF J000008.90+674022.9,0.0371,67.67303,SR
ZTF J000008.90+715303.8,0.0371,71.8844,EW
Gaia DR3 431595491147917568,0.03722,63.48667,RRAB
