id_objeto,nombre_vsx,clase_variable,ra_x,dec_x,tic_id,tic_ra,tic_dec,origen_etiqueta,clase_variable_normalizada,ra_y,dec_y
TIC_MISSING,Gaia DR3 2765830987255243264,ROT,1.5677,11.40606,403023270.0,1.56770373043114,11.4060634961344,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2753307274936895488,ROT,1.58265,10.24369,403023542.0,1.58264726748727,10.2436918884171,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2753840984751931776,ROT,2.888,11.30096,405332295.0,2.88800155615876,11.3009585937885,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2753825454150195968,ROT,2.94037,11.14641,405332604.0,2.94037473587766,11.1464049091713,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2753447771906296320,ROT,3.02043,10.24055,405332800.0,3.02042742210972,10.240546735386,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2753861119558706176,ROT,3.34497,11.44085,405188838.0,3.34496484915596,11.4408469244921,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2753553393741665152,ROT,3.3644,10.55543,405188660.0,3.36440509493193,10.5554315373692,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2753857717944610048,S,3.38623,11.38446,405188829.0,3.3862292612989706,11.3844419915899,VSX,S,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2753861978552163712,ROT,3.38683,11.50363,405188846.0,3.3868264481403294,11.5036277473457,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2753439761791577984,ROT,3.39021,10.28138,405188597.0,3.39021415453597,10.2813745405532,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2755361673756818944,ROT,3.62062,11.57801,405189016.0,3.62061520058818,11.5780094157937,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2765315762977942912,ROT,0.01422,10.2205,408504506.0,0.0142188078243576,10.2205004817127,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2765348885765755520,ROT,0.02449,10.69449,408504621.0,0.0244944591083243,10.694490094501,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2765345793389303424,S,0.02542,10.66095,408504608.0,0.025409286789625295,10.66096558699,VSX,S,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2765632937723528192,ROT,0.04435,10.85447,408504648.0,0.0443485046340709,10.8544701719689,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2765740483704644096,RS,0.05924,11.52417,408504786.0,0.059242311618029,11.5241686913046,VSX,RS_CVn,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2765691486717734272,ROT,0.06085,11.44853,408504771.0,0.060852718534324,11.4485249203199,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2765738628278774272,ROT,0.06529,11.48317,408504777.0,0.0652950428976182,11.4831735280629,VSX,Rotational,2.30823781131184,6.09139982704864
